"","log2FoldChange","padj"
"PDIK1L",-0.159944791792232,1
"CEP85",-0.439270168293373,1
"SH3BGRL3",-0.20285983990085,1
"UBXN11",-0.0518628384452378,1
"CD52",-0.674903974519057,1
"DHDDS",0.439949087525239,1
"HMGN2",0.0906023561709225,1
"ARID1A",-0.0239165176058535,1
"PIGV",0.872367926203454,1
"ZDHHC18",0.780921217368543,1
"SFN",1.55370963274805,1
"GPN2",0.0341683146229466,1
"GPATCH3",0.492346023209386,1
"NUDC",0.0607457659838405,1
"SLC9A1",0.273728025989751,1
"WDTC1",0.0589108760186245,1
"TMEM222",-0.0580753978787579,1
"SYTL1",-1.28399875909893,1
"MAP3K6",0.207604116133005,1
"GPR3",-0.711721938977319,1
"WASF2",0.0864839517320766,1
"AHDC1",0.289779443651981,1
"IFI6",1.89064401868759,1
"FAM76A",0.105964804521845,1
"STX12",0.191037541851961,1
"PPP1R8",0.108146724492575,1
"THEMIS2",0.58860903871608,1
"RPA2",0.164815484533568,1
"XKR8",-0.160337269335328,1
"EYA3",0.172632651442834,1
"DNAJC8",0.063538095939155,1
"PHACTR4",0.223364224365021,1
"RCC1",-0.309054000307716,1
"SNHG3",-0.339972932423716,1
"SNORA73B",-0.234198273012995,1
"TRNAU1AP",-0.196627696184297,1
"SNHG12",-0.234297157192995,1
"TAF12",-0.148970417489965,1
"GMEB1",0.126484070692031,1
"YTHDF2",0.123414077470886,1
"EPB41",0.0258785225077921,1
"SRSF4",0.381544185715145,1
"MECR",0.131387252978529,1
"LAPTM5",-0.373642362799707,1
"PUM1",0.0698377464109205,1
"SNRNP40",0.0372743223678621,1
"ZCCHC17",0.0277055667201213,1
"FABP3",-0.0992274698961506,1
"PEF1",0.442823999316658,1
"PTP4A2",-0.265621482601382,1
"KHDRBS1",0.243432737113812,1
"TMEM39B",-0.0220191312386372,1
"KPNA6",0.155647906050733,1
"TXLNA",0.134519297106528,1
"CCDC28B",0.163175784054447,1
"IQCC",0.0291487532940322,1
"TMEM234",0.19689727487315,1
"EIF3I",0.0872435599453685,1
"HDAC1",-0.212142802271164,1
"MARCKSL1",0.726413267430766,1
"FAM229A",0.669969318573315,1
"BSDC1",0.700371888817343,1
"ZBTB8OS",-0.00278206668745824,1
"RBBP4",-0.191839145847302,1
"KIAA1522",0.736564875957431,1
"YARS1",-0.184633861707427,1
"S100PBP",-0.335497834150493,1
"RNF19B",0.941865575342463,1
"AK2",-0.138723268985206,1
"TRIM62",0.3144119652066,1
"ZNF362",-0.562552580616704,1
"PHC2",-0.205301868732124,1
"ZSCAN20",0.282697104388818,1
"SMIM12",0.0821264665763984,1
"ZMYM6",-0.131869813320283,1
"ZMYM1",-0.271660651959564,1
"SFPQ",0.12651023056579,1
"ZMYM4",0.163293358311877,1
"KIAA0319L",0.210027872822842,1
"NCDN",-0.119362185721557,1
"TFAP2E",-0.645743301141427,1
"PSMB2",0.305255752787319,1
"C1orf216",-0.492522634194004,1
"CLSPN",0.098023772378745,1
"AGO4",-0.419635005618985,1
"AGO1",0.20812397874918,1
"AGO3",0.164610880443905,1
"ADPRHL2",0.568545179290229,1
"COL8A2",-1.04350365401615,1
"TRAPPC3",0.00695935250371854,1
"MAP7D1",-0.103665546048623,1
"THRAP3",0.336963473570765,1
"SH3D21",0.693419977329939,1
"STK40",-0.188213539933652,1
"LSM10",-0.0254583706548421,1
"OSCP1",0.439227158565891,1
"MRPS15",0.0347825806283171,1
"CSF3R",1.86719297818352,1
"ZC3H12A",1.12252298625022,1
"MEAF6",-0.0500615381405442,1
"SNIP1",0.58078364296748,1
"GNL2",0.138106456293482,1
"C1orf109",-0.448537437971737,1
"CDCA8",0.300724954637019,1
"MANEAL",-0.845105109282327,1
"YRDC",-0.108439606991864,1
"C1orf122",-0.0144076535050841,1
"MTF1",0.312964636111284,1
"INPP5B",0.00848509396844466,1
"SF3A3",0.0701364237846102,1
"FHL3",0.344616486743698,1
"UTP11",-0.0787731135126643,1
"RRAGC",0.433956377357984,1
"MYCBP",-0.17472472815543,1
"AKIRIN1",-0.0434867727779535,1
"NDUFS5",-0.0338976213173136,1
"MACF1",0.580910868029781,1
"KIAA0754",0.580910868029781,1
"BMP8A",0.363175386530703,1
"PPIEL",-0.145441756729005,1
"PABPC4",-0.11710210764524,1
"SNORA55",-0.336945552820479,1
"PPIE",0.116629741102172,1
"BMP8B",-0.25576624459448,1
"OXCT2",-0.328349348286701,1
"TRIT1",-0.244600888224666,1
"MYCL",-1.40963710692597,1
"MFSD2A",-0.239117026932362,1
"CAP1",-0.206273491777444,1
"PPT1",-0.19913597528808,1
"RLF",0.162656530910842,1
"ZMPSTE24",0.0311146156413564,1
"COL9A2",0.180173888304955,1
"SMAP2",0.219957784901566,1
"ZFP69B",-0.497734039188365,1
"ZFP69",-0.221814180387787,1
"EXO5",-0.234267056381088,1
"ZNF684",0.519785773060182,1
"RIMS3",-0.183031920575333,1
"NFYC",0.257700234294774,1
"KCNQ4",6.23159818810129,4.32567815978627e-05
"CTPS1",-0.330698607800736,1
"SLFNL1-AS1",-0.486962043145806,1
"SLFNL1",-0.777849960701832,1
"SCMH1",-0.263462127126673,1
"HIVEP3",0.721965627473778,1
"FOXJ3",0.146850163178831,1
"PPCS",0.263634599785626,1
"PPIH",-0.0726705748989177,1
"YBX1",0.032016948958365,1
"P3H1",0.0102005136097411,1
"C1orf50",-0.093671398912786,1
"SVBP",0.076762623678692,1
"ERMAP",-0.0191243908769083,1
"ZNF691",-0.0265538022198031,1
"SLC2A1",-0.337555021211933,1
"EBNA1BP2",-0.0948875671177206,1
"CDC20",-0.0910235554473855,1
"ELOVL1",-0.237608119661434,1
"MED8",0.221321172522951,1
"SZT2",0.318364259514973,1
"KDM4A",0.404117437971684,1
"ST3GAL3",0.127043395685524,1
"ARTN",-1.14288454817472,1
"IPO13",-0.279971587344591,1
"DPH2",-0.227433735748165,1
"ATP6V0B",-0.207946868235107,1
"B4GALT2",-0.444837301116411,1
"CCDC24",-0.150733440048193,1
"SLC6A9",0.508332391387758,1
"DMAP1",0.434623299521446,1
"ERI3",-0.0660418496746401,1
"RNF220",-0.0350858112195265,1
"TMEM53",-0.481715932204493,1
"ARMH1",-0.120916543622558,1
"KIF2C",0.197522643727724,1
"RPS8",0.039371501027647,1
"PLK3",-0.545069712857084,1
"TCTEX1D4",-0.432839521860121,1
"BTBD19",-0.259006114848176,1
"EIF2B3",-0.245336392523916,1
"HECTD3",-0.2195603303098,1
"UROD",-0.127292667686143,1
"HPDL",-0.440800044280527,1
"MUTYH",0.128876652594743,1
"TOE1",0.147963316757438,1
"TESK2",1.04822316835524,1
"CCDC163",0.487376976019059,1
"MMACHC",-0.293366429587566,1
"PRDX1",0.12978989895414,1
"AKR1A1",0.228503889771657,1
"NASP",-0.0138130727211421,1
"CCDC17",0.533942728005463,1
"GPBP1L1",-0.0861238292681024,1
"TMEM69",-0.0641813361132866,1
"IPP",0.185775448771455,1
"MAST2",-0.0756294197061996,1
"PIK3R3",-0.000241401124979652,1
"POMGNT1",0.0545974962674114,1
"RAD54L",0.270220082204002,1
"LRRC41",-0.0273789345560187,1
"UQCRH",-0.139825186959784,1
