"","log2FoldChange","padj"
"LINC01409",1.04497471801883,1
"LINC01128",0.720323133032982,1
"LOC107984850",0.720323133032982,1
"NOC2L",0.654147603474737,1
"KLHL17",0.63697114429145,1
"PLEKHN1",-1.75680656938786,1
"ISG15",-5.31336598275979,1.10561932036169e-10
"AGRN",-1.09737840764133,1
"LOC100288175",-3.3243165824181,0.000131479905860672
"C1orf159",-0.478422350137275,1
"TNFRSF18",-0.364625984879684,1
"TNFRSF4",0.0948563451342271,1
"SDF4",0.117527395126077,1
"B3GALT6",0.562654557380554,1
"UBE2J2",-0.161850431565245,1
"ACAP3",1.99630625911422,1
"PUSL1",1.3776620107641,1
"INTS11",-0.00545023365271692,1
"CPTP",0.462572526813319,1
"DVL1",1.4388388849141,1
"MXRA8",1.03074985811136,1
"AURKAIP1",0.295938243184573,1
"CCNL2",-0.414248347260025,1
"MRPL20-AS1",0.280354176228466,1
"MRPL20",0.12934582228387,1
"ATAD3B",0.412994657379359,1
"ATAD3A",1.14082497872444,1
"SSU72",0.0767908854569207,1
"MIB2",0.8197152905949,1
"CDK11B",-0.428039815763154,1
"SLC35E2B",0.101029400739921,1
"CDK11A",-0.417368962216492,1
"SLC35E2A",0.0990850557862285,1
"NADK",-0.202779976272808,1
"GNB1",-0.255125387476481,1
"PRKCZ",-0.613943990030075,1
"FAAP20",0.584671842934406,1
"SKI",1.38865184295705,1
"MORN1",-0.346036858640761,1
"RER1",-0.265616083798583,1
"PEX10",1.27886717522483,1
"TPRG1L",-0.183010455089139,1
"WRAP73",0.341132197360315,1
"TP73-AS1",0.427001286321549,1
"LRRC47",0.251927353964043,1
"CEP104",-0.0735518639707042,1
"DFFB",1.19765115808655,1
"C1orf174",0.212999216202113,1
"NPHP4",0.7243770062198,1
"KCNAB2",1.0492975891624,1
"RPL22",0.953570131092281,1
"ICMT",0.572880705543013,1
"ACOT7",0.57298655329346,1
"NOL9",0.140875628458312,1
"ZBTB48",0.145589602051736,1
"KLHL21",1.22764302656002,1
"PHF13",-0.166358695370615,1
"THAP3",-0.467282123983077,1
"DNAJC11",0.0479538392509529,1
"CAMTA1",-0.00137487730769415,1
"VAMP3",-0.622190256867929,1
"PER3",0.458204377824325,1
"UTS2",0.266751243938106,1
"TNFRSF9",-7.756871372398,0.000209935563007349
"PARK7",0.135537496640033,1
"RERE",-0.289060966338363,1
"ENO1",0.150126578143001,1
"SLC2A5",-2.35884443294547,1
"H6PD",-0.50909135457779,1
"SLC25A33",0.12804741013884,1
"TMEM201",0.844499660282456,1
"PIK3CD",-0.57701070884744,1
"PIK3CD-AS1",-1.19923093590528,1
"CLSTN1",0.0809672233342011,1
"CTNNBIP1",0.891605126637288,1
"LZIC",0.324870697121894,1
"NMNAT1",-0.663876545972864,1
"UBE4B",-0.146737225804314,1
"KIF1B",-0.587056409195251,1
"PGD",-0.787837231805217,1
"CENPS",-0.0242034318087329,1
"DFFA",0.561254350771059,1
"PEX14",-0.248704145870893,1
"CASZ1",1.64874264790747,1
"TARDBP",-0.222200943427399,1
"MASP2",-0.172707105182465,1
"SRM",1.46029250196296,1
"EXOSC10",-0.600787564145571,1
"MTOR",-0.392252454882228,1
"UBIAD1",1.19252652552495,1
"FBXO44",0.777519242209409,1
"FBXO6",-1.79286450896781,1
"MAD2L2",0.167349763737931,1
"AGTRAP",2.32000458470352,1
"MTHFR",1.02857402526611,1
"CLCN6",0.838758528566313,1
"KIAA2013",0.95581134776149,1
"PLOD1",0.770022140479749,1
"MFN2",-0.195594906429031,1
"MIIP",0.230565030840009,1
"TNFRSF1B",0.113266418714964,1
"VPS13D",-0.434108077223669,1
"PRDM2",-0.41592571204599,1
"KAZN",1.93546666807931,1
"EFHD2",0.290262698303934,1
"CASP9",0.743036956794794,1
"DNAJC16",-0.227740053730738,1
"AGMAT",1.38319130562024,1
"DDI2",0.128690331488194,1
"PLEKHM2",-0.384457669185208,1
"SLC25A34",-1.2500703651303,1
"UQCRHL",0.102060302342293,1
"FLJ37453",0.0801238766232162,1
"SPEN",-0.324854957635935,1
"ZBTB17",-0.961321042803468,1
"EPHA2",2.32367563798537,1
"ARHGEF19",1.37758418278122,1
"CPLANE2",1.00250946005862,1
"FBXO42",-0.591115729453819,1
"SZRD1",-0.501571375605438,1
"NECAP2",-0.654354209956025,1
"NBPF1",0.0727067761169892,1
"CROCCP2",0.524137576618339,1
"CROCC",1.7135845640349,1
"ATP13A2",0.802221802912692,1
"SDHB",0.19201633488635,1
"ALDH4A1",-0.0247514881433011,1
"IFFO2",0.435665548532492,1
"UBR4",-1.59923069837913,1
"EMC1",0.212340925554696,1
"MRTO4",0.539118815428857,1
"AKR7L",0.528532718768072,1
"AKR7A2",0.0344480699355606,1
"SLC66A1",-0.261730851732953,1
"CAPZB",-0.590395049000287,1
"MICOS10",0.119116311000562,1
"TMCO4",0.978323915310844,1
"OTUD3",-0.126407354843693,1
"MUL1",-0.223290116621142,1
"PINK1",0.803817145845251,1
"PINK1-AS",-0.41828727458307,1
"DDOST",0.0893088435712802,1
"KIF17",4.62207214658092,0.0498923838196936
"HP1BP3",-0.280288514438377,1
"EIF4G3",-0.11934944746589,1
"ECE1",-10.873844726072,5.02958097355287e-24
"ECE1-AS1",-6.89957601310394,0.00339125943447655
"USP48",-0.0091364010629424,1
"LDLRAD2",3.7308841774975,0.540290836205837
"HSPG2",4.61492244959312,0.0642976841877762
"LINC00339",0.475658828260401,1
"CDC42",-0.372844656829554,1
"ZBTB40",-0.211550820582454,1
"KDM1A",0.642601585157913,1
"LUZP1",-0.543871419972608,1
"RPL11",-0.157340915163225,1
"ELOA",-2.61075855826282,1.78340504418609e-15
"PITHD1",-0.646437283803783,1
"LYPLA2",-0.100283128186067,1
"GALE",0.253783912491015,1
"HMGCL",-0.409450715691517,1
"FUCA1",0.245993305044114,1
"CNR2",0.608636992591595,1
"PNRC2",-0.636941052953152,1
"SRSF10",-0.214135466972266,1
"IFNLR1",-1.1761476456917,1
"STPG1",-0.373027152163954,1
