"","log2FoldChange","padj"
"LINC01128",-0.221897498071949,1
"LOC107984850",-0.221897498071949,1
"NOC2L",0.243167024720227,1
"KLHL17",-0.483955615356834,1
"PLEKHN1",0.423632676010331,1
"ISG15",2.15354820664085,1
"AGRN",0.120026073105525,1
"LOC100288175",0.145916079991052,1
"RNF223",-0.724254168395559,1
"C1orf159",-0.378171939144757,1
"TNFRSF18",-0.596929035668225,1
"TNFRSF4",0.0767893904209154,1
"SDF4",0.0662652361569471,1
"B3GALT6",-0.0319918958962884,1
"UBE2J2",0.0275699889598598,1
"ACAP3",-0.524410981683033,1
"PUSL1",-0.123805282999784,1
"INTS11",-0.0705290202986358,1
"CPTP",-0.517163381299578,1
"DVL1",-0.589596464023782,1
"MXRA8",0.518903634645943,1
"AURKAIP1",-0.139254253747677,1
"CCNL2",-0.249137934328509,1
"MRPL20-AS1",0.0874055619405961,1
"MRPL20",0.377591167377555,1
"ATAD3B",0.641870023897019,1
"ATAD3A",0.0933057362348794,1
"SSU72",0.136684009160873,1
"MIB2",-0.859870586477569,1
"CDK11B",0.269896478856602,1
"SLC35E2B",-0.528339407613307,1
"CDK11A",0.146054024831946,1
"SLC35E2A",-0.474896453646191,1
"NADK",0.48693050073793,1
"GNB1",-0.0595188440496991,1
"PRKCZ",-0.471274361874836,1
"FAAP20",-0.357429412503049,1
"SKI",-0.567701795909787,1
"MORN1",-0.501667247374413,1
"RER1",0.108001293703448,1
"PEX10",-0.0980562505800593,1
"TPRG1L",-0.477441907812404,1
"WRAP73",-0.285632899585798,1
"TP73-AS1",-0.229337669763599,1
"LRRC47",0.238108296647227,1
"CEP104",0.0118746864600449,1
"DFFB",-0.599925715049939,1
"C1orf174",0.02763888146984,1
"NPHP4",-0.391393162287865,1
"KCNAB2",-0.410174475253601,1
"RPL22",-0.529914771729956,1
"ICMT",-0.0274210856594997,1
"GPR153",3.98978611543431,9.11778693159769e-06
"ACOT7",0.162585493231405,1
"NOL9",0.390444208804609,1
"ZBTB48",-0.263001763027961,1
"KLHL21",0.113530466464321,1
"PHF13",-0.329704204715674,1
"THAP3",0.370417396047402,1
"DNAJC11",0.550875382047188,1
"CAMTA1",0.037865100252666,1
"VAMP3",0.00764988617598037,1
"PER3",0.130588030338123,1
"UTS2",-0.247709137620841,1
"TNFRSF9",5.4917680265472,6.64796412807887e-13
"PARK7",-0.0217172427328701,1
"RERE",0.222355036675219,1
"ENO1",-0.0927237192001951,1
"H6PD",0.0478129992886074,1
"SLC25A33",0.436971454568655,1
"TMEM201",0.027121436141144,1
"PIK3CD",0.156427114257705,1
"PIK3CD-AS1",0.119427536134764,1
"CLSTN1",-0.214539816998306,1
"CTNNBIP1",-0.991235954247381,1
"LZIC",-0.00534594659716243,1
"NMNAT1",0.0472240231974878,1
"UBE4B",-0.0640913860181659,1
"KIF1B",0.398193861065825,1
"PGD",-0.0608979956452152,1
"CENPS",0.190865613891477,1
"DFFA",0.0445467953834767,1
"PEX14",-0.10285680586096,1
"CASZ1",0.724558836456144,1
"TARDBP",0.295840394818323,1
"SRM",0.615180521896979,1
"EXOSC10",0.131348330290386,1
"MTOR",0.385957699632978,1
"UBIAD1",0.339908010492374,1
"FBXO2",-1.42931130402756,1
"FBXO44",-0.215962707764672,1
"FBXO6",0.909542626421445,1
"MAD2L2",-0.297921549024024,1
"AGTRAP",-0.531829296259963,1
"MTHFR",-0.769863719337455,1
"CLCN6",-0.574229162534058,1
"KIAA2013",-0.355243832003192,1
"PLOD1",-0.362496304394845,1
"MFN2",0.310002847876901,1
"MIIP",-0.022669350547343,1
"TNFRSF1B",0.486435226858252,1
"VPS13D",-0.154201105691903,1
"DHRS3",-1.92315144784637,1
"PRDM2",-0.0144032851985245,1
"EFHD2",-0.337702330232349,1
"CASP9",-0.261442278983233,1
"DNAJC16",0.288569091604539,1
"AGMAT",0.27327781331019,1
"DDI2",0.249048500971298,1
"PLEKHM2",-0.131242034647822,1
"UQCRHL",-0.374704091729206,1
"FLJ37453",-1.23346622387438,1
"SPEN",0.0579563745953146,1
"ZBTB17",-0.0881827025770333,1
"EPHA2",0.181385988647278,1
"ARHGEF19",-0.0708565426546342,1
"CPLANE2",-0.381605163469943,1
"FBXO42",-0.159957528113648,1
"SZRD1",0.235479463367926,1
"NECAP2",0.403142046058385,1
"NBPF1",-0.349396944026158,1
"CROCCP2",-0.408701197689852,1
"CROCC",-1.11665533115681,1
"ATP13A2",-0.924220144961592,1
"SDHB",0.183594335530383,1
"ALDH4A1",-0.315746753961776,1
"IFFO2",-0.433711365835059,1
"UBR4",0.625875503565741,1
"EMC1",0.534410101623891,1
"MRTO4",0.716255414998801,1
"AKR7A2",-0.763862636526038,1
"SLC66A1",-0.429061941725945,1
"CAPZB",-0.206394729983738,1
"MICOS10",-0.362293064868455,1
"TMCO4",-0.0497637688025431,1
"OTUD3",-0.276826214292641,1
"MUL1",0.18673730571571,1
"PINK1",-0.86084445164452,1
"PINK1-AS",0.0700056184176678,1
"DDOST",0.0104162760028071,1
"KIF17",-3.0782392680975,1
"HP1BP3",-0.263273452767657,1
"EIF4G3",0.252103435507045,1
"ECE1",5.52765834244785,5.4046876961859e-37
"USP48",-0.000336449097545416,1
"LDLRAD2",-1.22100145336026,1
"HSPG2",-2.44406615410778,1
"LINC00339",-0.643286814291531,1
"CDC42",-0.0643385964008954,1
"ZBTB40",-0.00754225420987577,1
"KDM1A",0.186853841235043,1
"LUZP1",-0.159930960472733,1
"RPL11",0.0255422498744311,1
"ELOA",0.958156143537995,1
"PITHD1",0.314282274158263,1
"LYPLA2",-0.0178653636797951,1
"GALE",0.0460528202063231,1
"HMGCL",-0.266403519694465,1
"FUCA1",-0.259003505020272,1
"CNR2",-0.294691188422695,1
"PNRC2",0.266402812076708,1
"SRSF10",0.270263009990867,1
"IFNLR1",0.106390030811951,1
"STPG1",0.0760182819673739,1
"NIPAL3",-0.423665412510006,1
"RCAN3",-0.335437814910399,1
"NCMAP",0.278693092799209,1
"SRRM1",0.339778746752401,1
"CLIC4",0.118645588314043,1
"RUNX3",0.179641660265242,1
"SYF2",-0.234360866651657,1
"RSRP1",-0.146097773372019,1
"TMEM50A",0.691206369536895,1
"MACO1",-0.343526534301488,1
"LDLRAP1",-0.231945696219963,1
"SELENON",-0.176005337018431,1
"MTFR1L",-0.440354261819957,1
"AUNIP",-0.0167313348509095,1
"PAQR7",-0.374496207643215,1
"STMN1",-0.429134577559856,1
"PAFAH2",-0.472230912815522,1
"PDIK1L",-0.126022917238741,1
"CEP85",0.0991665410296547,1
"SH3BGRL3",-0.558999267545526,1
"UBXN11",-0.26440527777006,1
"CD52",-1.50645588112841,1
"DHDDS",0.443819628020272,1
"HMGN2",-0.0252015730683167,1
"ARID1A",-0.00497686440599246,1
"PIGV",-0.556923487756359,1
"ZDHHC18",0.871296939433239,1
"SFN",-0.185639068401049,1
"GPN2",0.0230304757050867,1
"GPATCH3",0.146642240889411,1
