"","log2FoldChange","padj"
"MTFR1L",-0.365834365129065,1
"AUNIP",0.209443876367238,1
"PAQR7",0.078219568251093,1
"STMN1",0.941040153367079,1
"PAFAH2",1.11989851400257,1
"PDIK1L",0.615819110164657,1
"CEP85",-0.102539120197497,1
"SH3BGRL3",-0.53081922617275,1
"UBXN11",0.0982634244550532,1
"CD52",-0.636273141638594,1
"DHDDS",-0.5094364191638,1
"HMGN2",0.387150084512564,1
"ARID1A",-0.215168141283132,1
"PIGV",-0.553602809380252,1
"ZDHHC18",-1.51117468220452,1
"SFN",-1.25301431821207,1
"GPN2",-0.233301082457281,1
"GPATCH3",-0.390141611290739,1
"NUDC",-0.047642745242768,1
"SLC9A1",-0.410827213956252,1
"WDTC1",-0.10705871734145,1
"TMEM222",-0.187806848639046,1
"MAP3K6",-0.535841949146943,1
"WASF2",-0.175031805472892,1
"AHDC1",0.157155827419692,1
"IFI6",-11.2864163252253,2.04132818001592e-52
"FAM76A",0.0303149966727448,1
"STX12",-0.722977300504925,1
"PPP1R8",0.119113653716171,1
"THEMIS2",-2.18372942448956,1
"RPA2",-0.0272115286135305,1
"XKR8",-0.357381440846818,1
"EYA3",-0.114081780868577,1
"PTAFR",0.224954498846397,1
"DNAJC8",-0.031734156438945,1
"PHACTR4",-0.399776545209303,1
"RCC1",0.288515382083756,1
"SNHG3",0.282364822688064,1
"SNORA73B",-0.093692403284335,1
"TRNAU1AP",-0.0888702778278801,1
"SNHG12",0.0967917514433074,1
"SNORD99",0.268303586230153,1
"TAF12",-0.294474875344197,1
"GMEB1",-0.270672200415293,1
"YTHDF2",-0.0221566167505924,1
"EPB41",-0.0738463966288003,1
"SRSF4",0.0248992766328207,1
"MECR",-0.100877145091322,1
"LAPTM5",-0.927197009928216,1
"PUM1",-0.101620523724995,1
"SNRNP40",-0.0790873145438223,1
"ZCCHC17",-0.111974061056729,1
"FABP3",1.00820738532816,1
"PEF1",-0.370452865770346,1
"PTP4A2",-0.39139030996456,1
"KHDRBS1",0.227916932302583,1
"TMEM39B",0.307607208795869,1
"KPNA6",-0.396123448277646,1
"TXLNA",-0.476479737884717,1
"CCDC28B",-4.23459161628567,1.0022303613515e-12
"IQCC",0.13976270240783,1
"TMEM234",-0.0185125302000302,1
"EIF3I",-0.18957694065574,1
"HDAC1",0.0757061968328515,1
"MARCKSL1",-1.62966588920114,1
"FAM229A",0.899622402132311,1
"BSDC1",-0.0917376530622104,1
"ZBTB8A",1.13055732015104,1
"ZBTB8OS",-0.282657638413039,1
"RBBP4",0.100500324048525,1
"KIAA1522",-0.386183367345037,1
"YARS1",-0.115123795731898,1
"S100PBP",0.169073905688835,1
"RNF19B",-2.72821130865489,9.12303076618171e-14
"AK2",0.106190353893633,1
"AZIN2",0.835374212706971,1
"TRIM62",-0.319980332182136,1
"ZNF362",-0.374523291228243,1
"PHC2",0.25723258654967,1
"ZSCAN20",-0.387493795438517,1
"SMIM12",-0.357003936220832,1
"ZMYM6",-0.0821926978605033,1
"ZMYM1",0.599502881503186,1
"SFPQ",0.170978868211418,1
"ZMYM4",-0.0387617109064573,1
"KIAA0319L",-0.383236138540341,1
"NCDN",-0.274954040822766,1
"TFAP2E",0.658400374401779,1
"PSMB2",-0.270158564087259,1
"C1orf216",0.194331749911366,1
"CLSPN",-0.0662203714666275,1
"AGO4",0.714032764939088,1
"AGO1",-0.424756707937685,1
"AGO3",0.0335306108334014,1
"ADPRHL2",-1.04964772789698,1
"COL8A2",1.47082199069698,1
"TRAPPC3",-0.320954069606246,1
"MAP7D1",-0.354739879287263,1
"THRAP3",-0.101605531762437,1
"SH3D21",-0.896082517685985,1
"STK40",-0.97491512183768,1
"LSM10",-0.950605481914829,1
"MRPS15",-0.201566676479188,1
"CSF3R",-1.15986001569546,1
"ZC3H12A",-2.38202218441586,0.549364039084999
"MEAF6",0.331802308468302,1
"SNIP1",0.00384516528160641,1
"GNL2",-0.377245519514837,1
"C1orf109",0.252178492155129,1
"CDCA8",0.28885318114563,1
"MANEAL",-0.0703039058405397,1
"YRDC",-0.484160025690984,1
"C1orf122",-0.700639560695052,1
"MTF1",-0.428904790548545,1
"INPP5B",-0.710284993017206,1
"SF3A3",0.0126755860720624,1
"FHL3",-2.32817288719497,1
"UTP11",0.0944725686927164,1
"RRAGC",-0.495921477106572,1
"MYCBP",0.461152724751399,1
"AKIRIN1",-0.25212535322252,1
"NDUFS5",0.224735736961833,1
"MACF1",-0.0623793438487808,1
"KIAA0754",-0.0623793438487808,1
"BMP8A",0.415126886663339,1
"PPIEL",0.133023852490923,1
"PABPC4",-0.0274391720825779,1
"SNORA55",0.294307082927955,1
"PPIE",-0.0144926858518141,1
"BMP8B",1.60005914968752,1
"OXCT2",0.973575918354173,1
"TRIT1",-0.238365265432588,1
"MYCL",-0.995253999039385,1
"MFSD2A",-0.334133142235604,1
"CAP1",-0.153969036280283,1
"PPT1",0.231513687724877,1
"RLF",0.0150293349380831,1
"ZMPSTE24",0.182427543022996,1
"COL9A2",-1.6081443544463,1
"SMAP2",-0.56650363641884,1
"ZFP69B",0.144940780213243,1
"ZFP69",0.400355468293725,1
"EXO5",0.0473191675403967,1
