"","log2FoldChange","padj"
"UBXN11",0.431732641738583,1
"CD52",-0.671933153619494,1
"DHDDS",0.369683478893705,1
"HMGN2",0.0767532873222234,1
"ARID1A",-0.039000534195489,1
"PIGV",0.88415348368748,1
"ZDHHC18",0.804208012990713,1
"SFN",1.60525590448249,1
"GPN2",0.148880184686249,1
"GPATCH3",0.487368322819745,1
"NUDC",0.137316507542083,1
"SLC9A1",0.340057997802316,1
"WDTC1",0.0869065522862605,1
"TMEM222",0.267077680983776,1
"SYTL1",-1.09364160312126,1
"MAP3K6",0.210284440846467,1
"GPR3",-0.392181315478487,1
"WASF2",0.0274129886539732,1
"AHDC1",0.587555006523736,1
"IFI6",1.25642379169595,1
"FAM76A",-0.00500512233671172,1
"STX12",0.0545502415369025,1
"PPP1R8",0.151074646462119,1
"THEMIS2",0.547105815969286,1
"RPA2",0.0759185706419953,1
"XKR8",0.175565104963463,1
"EYA3",0.115115152659311,1
"DNAJC8",-0.0300801254997524,1
"PHACTR4",0.0955343445950226,1
"RCC1",-0.251248148601052,1
"SNHG3",-0.314333959703519,1
"SNORA73B",-0.285196146740727,1
"TRNAU1AP",-0.378622619166151,1
"SNHG12",-0.102676318527205,1
"TAF12",-0.204007499956075,1
"GMEB1",0.271018170311703,1
"YTHDF2",0.129169797063249,1
"EPB41",0.014583781146754,1
"SRSF4",0.168192116382903,1
"MECR",0.0999556552640158,1
"LAPTM5",-0.328909436126641,1
"PUM1",-0.00149029535445367,1
"SNRNP40",0.0646294068743869,1
"ZCCHC17",0.0391796253496805,1
"FABP3",-0.146146349020736,1
"PEF1",0.311800931246845,1
"PTP4A2",-0.268562307859322,1
"KHDRBS1",0.137310348629227,1
"TMEM39B",0.0211590269375667,1
"KPNA6",0.114927682900956,1
"TXLNA",0.179712173281572,1
"IQCC",0.219107236833653,1
"TMEM234",0.453970407681753,1
"EIF3I",0.0623416177412743,1
"HDAC1",-0.291234198061683,1
"MARCKSL1",0.67997797859252,1
"FAM229A",1.11357270515172,1
"BSDC1",0.742362062567627,1
"ZBTB8OS",-0.0889983109138923,1
"RBBP4",-0.236384510701298,1
"KIAA1522",0.759527168998583,1
"YARS1",-0.206447607237352,1
"S100PBP",-0.424483963646183,1
"RNF19B",0.806802968597158,1
"AK2",-0.158845252704675,1
"TRIM62",0.696347345652242,1
"ZNF362",-0.387392771363942,1
"PHC2",-0.223355983535911,1
"ZSCAN20",0.370032252837464,1
"SMIM12",0.175775879916259,1
"ZMYM6",-0.0935638262354752,1
"ZMYM1",-0.0737914052664574,1
"SFPQ",0.118970919915559,1
"ZMYM4",0.0755352901773724,1
"KIAA0319L",0.188672097955867,1
"NCDN",0.227949591177426,1
"TFAP2E",-0.554835949320221,1
"PSMB2",0.186083774457169,1
"C1orf216",-0.382715927692469,1
"CLSPN",0.0906366577930438,1
"AGO4",-0.435598214930953,1
"AGO1",0.231785878984368,1
"AGO3",0.216509642419032,1
"ADPRHL2",0.313567078652365,1
"COL8A2",-0.536441452630184,1
"TRAPPC3",-0.0774468406549297,1
"MAP7D1",-0.043404568028831,1
"THRAP3",0.270296057114925,1
"SH3D21",0.239633709901773,1
"STK40",-0.0985466104100678,1
"LSM10",-0.10189765766051,1
"OSCP1",0.14401236119507,1
"MRPS15",0.0174024702235308,1
"CSF3R",1.8248278762755,1
"ZC3H12A",1.23421116321558,1
"MEAF6",-0.0390049507242001,1
"SNIP1",0.579990305278201,1
"GNL2",0.0564195496412823,1
"C1orf109",-0.360881292776215,1
"CDCA8",0.196049656984544,1
"MANEAL",-0.204251478143092,1
"YRDC",-0.18283181138968,1
"C1orf122",-0.0531934071010798,1
"MTF1",0.363287139366076,1
"INPP5B",-0.0757162926384608,1
"SF3A3",-0.0205696303669482,1
"FHL3",0.458811447238288,1
"UTP11",-0.134588769607085,1
"RRAGC",0.222205987304438,1
"MYCBP",-0.192639877863456,1
"AKIRIN1",-0.0910761460367489,1
"NDUFS5",-0.114310114128856,1
"MACF1",0.530911789811622,1
"KIAA0754",0.530911789811622,1
"BMP8A",0.383314143287201,1
"PPIEL",0.0566351863300122,1
"PABPC4",-0.104523325445545,1
"PPIE",0.11012587087042,1
"BMP8B",-0.0418371573290159,1
"OXCT2",0.0202764377393948,1
"TRIT1",-0.337235162553145,1
"MYCL",-1.39559986802445,1
"MFSD2A",-0.03733207152648,1
"CAP1",-0.303880163138646,1
"PPT1",-0.239048263958548,1
"RLF",-0.246088942283907,1
"ZMPSTE24",0.0392896127053957,1
"COL9A2",0.484787954413012,1
"SMAP2",0.152264464742126,1
"ZFP69B",-0.322412743314575,1
"ZFP69",-0.056785739985986,1
"EXO5",0.00271388016847534,1
"ZNF684",0.258294914776781,1
"RIMS3",0.148585840661268,1
"NFYC",0.18927094164822,1
"KCNQ4",4.62847375316871,0.00466541294963033
"CTPS1",-0.276094058994982,1
"SLFNL1-AS1",-0.415505336353955,1
"SCMH1",-0.2989605135109,1
"HIVEP3",1.00021414830423,1
"FOXJ3",0.0237348756447569,1
"PPCS",0.305503012776452,1
"PPIH",-0.166080538417334,1
"YBX1",-0.037697357163151,1
"P3H1",0.0936948599370153,1
"C1orf50",-0.163899407320613,1
"SVBP",-0.0478427306532985,1
"ERMAP",-0.0586500387015833,1
"ZNF691",-0.170830598733531,1
"SLC2A1",-0.529777708351753,1
"EBNA1BP2",-0.132622630254924,1
"CDC20",-0.0852286779651824,1
"ELOVL1",-0.179163126478647,1
"MED8",0.18287370385523,1
"SZT2",0.459530848297646,1
"KDM4A",0.442534370811975,1
"ST3GAL3",0.033711794503115,1
"ARTN",-0.672728824617413,1
"IPO13",-0.0724674544138567,1
"DPH2",-0.0755077226527776,1
"ATP6V0B",-0.155716680638632,1
"B4GALT2",-0.153945221612392,1
"CCDC24",0.684251029725213,1
"SLC6A9",0.633583194006976,1
"DMAP1",0.46137985158601,1
"ERI3",-0.103474830407143,1
"RNF220",0.0413323263499008,1
"TMEM53",-0.193163125558104,1
"ARMH1",0.226227901575719,1
"KIF2C",0.0643664355314439,1
"RPS8",-0.0383045063656988,1
"PLK3",-0.262459405677632,1
"BTBD19",-0.123577583161876,1
"EIF2B3",-0.284609576673717,1
"HECTD3",-0.0556271391324883,1
"UROD",-0.0122128394826045,1
"HPDL",-0.33221708367877,1
"MUTYH",0.0170932586072298,1
"TOE1",0.115405279880513,1
"TESK2",0.7720564562008,1
"CCDC163",0.796164437038677,1
"MMACHC",-0.277451560750223,1
"PRDX1",0.0833071229673029,1
"AKR1A1",0.201768504705021,1
"NASP",-0.066778946202411,1
"CCDC17",0.544770071067158,1
"GPBP1L1",-0.215648199019106,1
"TMEM69",-0.178531757455289,1
"IPP",0.272888566268672,1
"MAST2",0.0374070928638276,1
"PIK3R3",0.0753973866761854,1
"POMGNT1",0.122527380263264,1
"RAD54L",0.115099642866786,1
"LRRC41",0.0359933301464061,1
"UQCRH",-0.150764718415549,1
"NSUN4",-0.0594423353190695,1
"FAAH",0.0977088079092983,1
"MKNK1",0.0844823339105737,1
"MOB3C",0.531874588298301,1
"ATPAF1",-0.0272905024099829,1
"EFCAB14",0.0662385006309798,1
"STIL",0.198515492753138,1
"CMPK1",-0.0450637523359517,1
"FOXD2-AS1",-1.06021458654267,1
"FAF1",0.144615215238312,1
"CDKN2C",1.51651123422816,1
"RNF11",0.24326636913977,1
"TTC39A",0.335556299047092,1
"EPS15",-0.15454076861673,1
"OSBPL9",0.148966364652096,1
"NRDC",0.055696068470552,1
"TXNDC12",0.243814597765627,1
"KTI12",-0.0563245256806781,1
"BTF3L4",-0.40946031805914,1
"ZFYVE9",-0.552716001165914,1
"CC2D1B",0.151270982144251,1
"ORC1",0.041385905354013,1
"PRPF38A",0.0605677924373419,1
"TUT4",-0.10221023278064,1
"GPX7",-0.388135178186868,1
"SHISAL2A",-0.735308235817316,1
"COA7",-0.403779615842722,1
"ZYG11B",-0.176507650882349,1
"SCP2",-0.07255066670512,1
"CPT2",0.398123873301987,1
"CZIB",0.0567312438989594,1
"MAGOH",0.0825016715883492,1
"LRP8",-0.432744111053139,1
"NDC1",-0.209580555647625,1
"YIPF1",0.1934352357598,1
"HSPB11",-0.0580859902567749,1
"LRRC42",-0.0729946700809768,1
"TMEM59",0.162864264845237,1
"TCEANC2",-0.01001721846574,1
"CYB5RL",-0.547291996069564,1
"MRPL37",0.0489637697053,1
"SSBP3",-0.0500512091856019,1
"TTC4",1.25128241225566,1
"PARS2",0.226635485254223,1
"DHCR24",-0.530953592697678,1
"USP24",-0.489760856720636,1
"OMA1",-0.329596108165434,1
"MYSM1",0.174740452811773,1
"JUN",3.85724260248616,1.81765864993626e-07
"FGGY",0.927965303595402,1
"NFIA",-0.520530460448251,1
"TM2D1",-0.014164707653066,1
"USP1",-0.101626137732024,1
"DOCK7",-0.508295206902617,1
"ATG4C",-0.197356307674154,1
"ALG6",0.0499896379233994,1
"ITGB3BP",0.20869892565996,1
"EFCAB7",0.663552620954523,1
"PGM1",-0.147504962030975,1
"ROR1",-0.680981540969751,1
"RAVER2",-0.103533404063328,1
"JAK1",0.417094230945404,1
"AK4",-0.0881222443605215,1
"DNAJC6",-0.0452156483750315,1
"LEPROT",-0.102887724679629,1
"LEPR",-0.210423105302905,1
"PDE4B",2.92128854500248,9.46318503813272e-08
"MIER1",0.320561145155089,1
"SLC35D1",-0.387393316925438,1
"SERBP1",-0.173890152156406,1
"GADD45A",0.221305467162967,1
"DEPDC1",-0.16619092121437,1
"LRRC7",0.211680220328588,1
"LRRC40",-0.0236674604795999,1
"SRSF11",0.0648178699859476,1
"ANKRD13C",-0.253588766302905,1
"HHLA3",0.0487975288152134,1
"CTH",0.125258016918706,1
"ZRANB2",0.324721108873034,1
"NEGR1",-0.350366226186799,1
"LRRIQ3",0.855386260012002,1
"FPGT",0.165075190293615,1
"CRYZ",-0.237902889828084,1
"TYW3",-0.0354221160704459,1
"ACADM",-0.409379339007346,1
"RABGGTB",-0.289734245790273,1
"PIGK",-0.108983156587654,1
"AK5",-0.347780159089684,1
"ZZZ3",-0.0037748388903162,1
"USP33",0.10801767742416,1
"MIGA1",-0.0640684776125797,1
"NEXN",0.60844050201236,1
"FUBP1",-0.0951338443332569,1
"DNAJB4",1.4227140751266,1
"IFI44L",0.573880157059384,1
"IFI44",2.25409257191037,1
"PRKACB",-0.565416306352853,1
"SAMD13",-0.597707162940581,1
"RPF1",-0.162020491645088,1
"GNG5",0.97847653456599,1
"CTBS",0.122434275244787,1
"SSX2IP",-0.170973278726163,1
"MCOLN2",0.0640164263754455,1
"WDR63",-0.149864157810112,1
"C1orf52",0.215955082248279,1
"BCL10",0.120401955910588,1
"ZNHIT6",-0.0782680642296535,1
"COL24A1",-0.346746641388437,1
"ODF2L",0.456681082650692,1
"SH3GLB1",0.126964506371668,1
"SELENOF",0.096230121591456,1
"HS2ST1",-0.133663937280028,1
"LMO4",0.0978868106725596,1
"PKN2",0.30322216792409,1
"GTF2B",0.226091539654944,1
"KYAT3",0.295951518897356,1
"RBMXL1",0.261825688508781,1
"GBP3",-0.0336660111278066,1
"GBP2",1.12636859146338,1
"GBP4",5.02549433098324,1.1478015288629e-14
"GBP5",6.09295376982151,1.9339655565823e-14
"LRRC8B",-0.0186804510513237,1
"LRRC8C-DT",-0.0974921261825235,1
"LRRC8C",-0.53525227826185,1
"LRRC8D",-0.356236153773901,1
"ZNF326",-0.13698796867493,1
"ZNF644",-0.063866023642732,1
"CDC7",-0.084241075380644,1
"KIAA1107",-0.0937137555455161,1
"BTBD8",-0.0937137555455161,1
"GLMN",-0.0265381824533472,1
"RPAP2",0.109496072044429,1
"GFI1",-0.388948256267,1
"EVI5",-0.132550958060095,1
"RPL5",-0.23101385653433,1
"DIPK1A",0.64473383367249,1
"MTF2",0.206748144877366,1
"TMED5",0.365373005486922,1
"CCDC18",-0.157641271122587,1
"DR1",-0.136295734587827,1
"FNBP1L",-0.518858032366468,1
"BCAR3",-0.131255603791484,1
"MIG7",-0.131255603791484,1
"DNTTIP2",0.297244118857928,1
"GCLM",0.242533718873824,1
"ABCD3",-0.201102249222508,1
"F3",0.196534417238114,1
"ALG14",-0.180720043708673,1
"RWDD3",0.276111389530989,1
"PTBP2",0.0483747975240731,1
"DPYD",0.242494616166525,1
"FRRS1",0.513719052494017,1
"AGL",0.638610683979001,1
"SLC35A3",0.130465877372555,1
"MFSD14A",1.8943038858976,1
"SASS6",0.274735420519082,1
"TRMT13",-0.0483873963574681,1
"LRRC39",0.361330158023723,1
"DBT",0.194316377050629,1
"RTCA",0.0938237326442917,1
"CDC14A",0.427859192122441,1
"EXTL2",0.500632409442959,1
"SLC30A7",0.614989908801504,1
"DPH5",-0.33095509021472,1
"LOC102606465",-0.367663904119727,1
"RNPC3",0.187929374247509,1
"AMY2B",0.171740173924922,1
"PRMT6",-0.0370046968998587,1
"NTNG1",0.441590090187411,1
"VAV3",-0.370364847934621,1
"FAM102B",-0.716430593422171,1
"HENMT1",-0.419000317226686,1
"PRPF38B",-0.281024362805039,1
"STXBP3",0.297652926828877,1
"GPSM2",-0.332644705662278,1
"CLCC1",0.00125026580291153,1
"WDR47",-0.468675848263702,1
"TAF13",0.256634781109604,1
"TMEM167B",0.0611814993605149,1
"SARS1",-0.11253161315526,1
"PSRC1",-0.374626292214239,1
"SORT1",-0.669772194788231,1
"PSMA5",0.0836102228019768,1
"ATXN7L2",0.656530730087735,1
"CYB561D1",0.362075600312099,1
"GNAI3",-0.0035060361847257,1
"AMPD2",-0.158344022721506,1
"GSTM4",0.053055311538864,1
"GSTM2",0.565941706237474,1
"GSTM1",0.766036372051386,1
"AHCYL1",0.316279708565589,1
"STRIP1",0.388913708419166,1
"RBM15",0.00160521375506668,1
"LAMTOR5",-0.0919942702427713,1
"CD53",-0.271266535778616,1
"LRIF1",0.0373940130655143,1
"DRAM2",-0.250816722821423,1
"CEPT1",-0.0589215949608042,1
"DENND2D",-0.37149472785659,1
"CHI3L2",0.176077235071316,1
"OVGP1",-0.0983825034949022,1
"WDR77",-0.0490636070175833,1
"ATP5PB",-0.152048475817189,1
"C1orf162",-0.29406662119655,1
"RAP1A",-0.213550077431113,1
"INKA2",-0.563070975343281,1
"DDX20",0.200540249724074,1
"CTTNBP2NL",0.0240133990374106,1
"WNT2B",-0.69212516964976,1
"ST7L",0.138909579999437,1
"CAPZA1",-0.0501652513906636,1
"MOV10",0.203229534981713,1
"RHOC",-0.0493361553580413,1
"PPM1J",-0.137469881588035,1
"LRIG2",0.0543997461360354,1
"MAGI3",-0.0921315056917695,1
"PHTF1",0.135118738161743,1
"RSBN1",-0.179064857599433,1
"PTPN22",-0.694903142716114,1
"AP4B1-AS1",0.469907047590066,1
"BCL2L15",-0.544885612113902,1
"AP4B1",-0.0103681795030033,1
"DCLRE1B",-0.334913616873599,1
"HIPK1",-0.0750182204658323,1
"TRIM33",0.0848835341011501,1
"BCAS2",0.345311340094336,1
"NRAS",0.211807853259791,1
"CSDE1",-0.124756247445907,1
"SIKE1",0.0876309590012425,1
"TSPAN2",-0.235932829994357,1
"VANGL1",0.0429277409812998,1
"ATP1A1",-0.10261252116322,1
"ATP1A1-AS1",-0.00641822563757422,1
"CD58",0.255982223440101,1
"PTGFRN",-0.360519274954756,1
"TTF2",0.152468286312064,1
"TRIM45",0.200577758710068,1
"MAN1A2",-0.275729526029765,1
"TENT5C",-1.68237023181133,1
"GDAP2",0.227317073503641,1
"WDR3",-0.421470060664169,1
"WARS2",0.16985104993784,1
"WARS2-AS1",-0.146222996884801,1
"ZNF697",0.379051561268547,1
"NOTCH2",-0.155370658293048,1
"SEC22B",0.267330037254105,1
"NBPF8",-0.404948839325748,1
"NBPF26",-0.386417573703312,1
"FAM72B",-0.230251017839689,1
"SRGAP2C",-0.0550740496205816,1
"FAM72C",-0.173505253855807,1
"NBPF15",-0.299419577505314,1
"SRGAP2B",-0.0945852733672584,1
"FAM72D",-0.131556972948305,1
"NBPF20",-0.0741983821386472,1
"NBPF25P",0.240830849679042,1
"GPR89A",-0.0307622607079726,1
"PDZK1",0.529652005357525,1
"CD160",0.905125314238785,1
"RNF115",0.0932517447535192,1
"POLR3C",-0.120271615512829,1
"NUDT17",-0.177083005551854,1
"PIAS3",0.215204296856112,1
"ANKRD35",0.294752353815474,1
"ITGA10",1.31274386405374,1
"PEX11B",0.630592845137242,1
"RBM8A",-0.0640068959444227,1
"LIX1L",0.0149543271050929,1
"ANKRD34A",-0.590973771727274,1
"POLR3GL",0.0417231934421745,1
"TXNIP",0.475130405915971,1
"NBPF10",-0.175390835393262,1
"NBPF12",-0.207875078485481,1
"PRKAB2",0.35873783811224,1
"FMO5",0.422578981821968,1
"CHD1L",0.224894484139792,1
"LINC00624",-0.115373052902362,1
"BCL9",0.435993234194152,1
"GPR89B",0.264807150593598,1
"NBPF11",0.0100871111710822,1
"NBPF14",-0.244190891841003,1
"PDE4DIP",-0.642037663502779,1
"NBPF9",-0.396806868271967,1
"NOTCH2NLC",-0.648307091619588,1
"LINC00869",0.174147387528797,1
"FCGR1A",0.191951162467533,1
