"","log2FoldChange","padj"
"LINC01409",-0.356318917064749,1
"LINC01128",0.221960391118008,1
"LOC107984850",0.221960391118008,1
"NOC2L",0.226968341993434,1
"KLHL17",0.592557433957467,1
"PLEKHN1",0.463829767741813,1
"ISG15",-0.313481405759861,1
"AGRN",0.198304639449102,1
"LOC100288175",-0.137285342331234,1
"RNF223",0.183180714196603,1
"C1orf159",0.416132431040847,1
"TNFRSF18",0.52411429854727,1
"SDF4",0.265913191637916,1
"B3GALT6",0.294757253289013,1
"UBE2J2",0.0930575386551169,1
"ACAP3",0.494947016425573,1
"PUSL1",0.395767608874756,1
"INTS11",0.272927639386639,1
"CPTP",0.286332243365297,1
"DVL1",0.509223458038038,1
"AURKAIP1",0.23072917775816,1
"CCNL2",0.0931633188070313,1
"MRPL20-AS1",0.29570902699485,1
"MRPL20",0.0899274826014737,1
"ATAD3B",0.368178049719318,1
"ATAD3A",0.390869493713001,1
"SSU72",0.0104643284510682,1
"MIB2",0.867410155824046,1
"CDK11B",0.115323113811127,1
"SLC35E2B",0.180335068362259,1
"CDK11A",0.0966552313538308,1
"SLC35E2A",0.0838470287901259,1
"NADK",0.194691297369072,1
"GNB1",-0.0438087937668961,1
"PRKCZ",-0.190405897574163,1
"FAAP20",0.17843933351354,1
"SKI",0.248390268015058,1
"MORN1",-0.0484919637174636,1
"RER1",-0.00551691084434201,1
"PEX10",0.0534584460828315,1
"TPRG1L",0.121591186683898,1
"WRAP73",0.154342782692899,1
"TP73-AS1",0.139287882540963,1
"LRRC47",0.0168966837673373,1
"CEP104",0.016578759905524,1
"DFFB",0.0636666404597223,1
"C1orf174",-0.0121259824486484,1
"NPHP4",0.375608689412686,1
"KCNAB2",0.193324129206717,1
"RPL22",-0.0273616924276872,1
"ICMT",0.140494650898461,1
"ACOT7",0.111115141346326,1
"NOL9",0.0472482377223555,1
"ZBTB48",0.364102111900074,1
"KLHL21",0.289928961378828,1
"PHF13",0.185642246144991,1
"THAP3",-0.0479409858205037,1
"DNAJC11",0.0640329800542915,1
"CAMTA1",-0.169039151756515,1
"VAMP3",-0.0463877808744624,1
"PER3",0.0539621109180903,1
"UTS2",-0.248311803936756,1
"PARK7",-0.0459327900933941,1
"RERE",-0.00220120694903424,1
"ENO1",-0.0245680470550024,1
"H6PD",0.0267610217591045,1
"SLC25A33",-0.0200974682822524,1
"TMEM201",0.43418848186747,1
"PIK3CD",0.0460609303177717,1
"PIK3CD-AS1",-0.0504559363755156,1
"CLSTN1",0.00813314015548646,1
"CTNNBIP1",0.116158111701974,1
"LZIC",0.063432427681377,1
"NMNAT1",-0.00286297376621586,1
"UBE4B",0.0119499160280162,1
"KIF1B",-0.267357637664659,1
"PGD",-0.0323055832856854,1
"CENPS",-0.108629949604625,1
"DFFA",-0.0343806600822382,1
"PEX14",0.134362268960749,1
"CASZ1",-0.221117757717052,1
"TARDBP",-0.016146929085535,1
"SRM",0.238304059621639,1
"EXOSC10",-0.0892136165586018,1
"MTOR",0.0172778807227307,1
"UBIAD1",0.285045956135759,1
"FBXO44",0.156395115696869,1
"FBXO6",-0.206997235521933,1
"MAD2L2",0.0451732706857487,1
"AGTRAP",0.259051955142671,1
"MTHFR",0.137799318178467,1
"CLCN6",0.0616961279484138,1
"KIAA2013",0.106579378347321,1
"PLOD1",-0.0785465665455145,1
"MFN2",0.0970746564779503,1
"MIIP",0.257915989912399,1
"TNFRSF1B",0.094320363856753,1
"VPS13D",-0.000250974074366152,1
"PRDM2",0.0807556617728671,1
"EFHD2",0.222284311743638,1
"CASP9",0.132704041974807,1
"DNAJC16",0.0224740501926489,1
"AGMAT",0.117087114149959,1
"DDI2",0.0423615408770314,1
"PLEKHM2",0.162307775226995,1
"UQCRHL",-0.0183409996526415,1
"FLJ37453",0.466453265862373,1
"SPEN",0.042509502310023,1
"ZBTB17",0.317282852698117,1
"EPHA2",0.416986132091745,1
"ARHGEF19",0.39362711927879,1
"CPLANE2",-0.190151702384896,1
"FBXO42",-0.0376970515274222,1
"SZRD1",0.0899916812643296,1
"NECAP2",-0.154848924077083,1
"NBPF1",0.248780777996395,1
"CROCCP2",0.223611984162293,1
"CROCC",0.481129436082874,1
"ATP13A2",0.672255034143725,1
"SDHB",-0.0581275233192686,1
"ALDH4A1",0.291929836351671,1
"IFFO2",0.140746051282891,1
"UBR4",-0.198664452690884,1
"EMC1",0.00477239379464039,1
"MRTO4",0.0864454768928194,1
"AKR7A2",0.0491436084957895,1
"SLC66A1",0.251790483125363,1
"CAPZB",0.0213620918431656,1
"MICOS10",-0.0415585939116511,1
"TMCO4",0.253205504354934,1
"OTUD3",0.0832303739080006,1
"MUL1",0.187286942482314,1
"PINK1",-0.132146083133569,1
"PINK1-AS",0.121991645150814,1
"DDOST",0.0506150310715047,1
"HP1BP3",-0.0296809827351598,1
"EIF4G3",-0.0370304044111928,1
"USP48",-0.0587159421530556,1
"LINC00339",0.0286560191904869,1
"CDC42",-0.0571110521154394,1
"ZBTB40",0.159468036347347,1
"KDM1A",-0.0463219091634285,1
"LUZP1",-0.0087383751398649,1
"RPL11",-0.0173192044723435,1
"ELOA",-0.0416205423129105,1
"PITHD1",-0.00682226230205693,1
"LYPLA2",0.258090343498091,1
"GALE",0.107641940773426,1
"HMGCL",-0.0765417022308615,1
"FUCA1",0.0568638543305641,1
"CNR2",0.246668294278063,1
"PNRC2",0.0156495582392848,1
"SRSF10",-0.0160834109942667,1
"IFNLR1",0.0397828041902114,1
"STPG1",-0.0357272020585314,1
"NIPAL3",0.138478440975853,1
"RCAN3",0.0030046722775368,1
"NCMAP",0.0635462983021406,1
"SRRM1",-0.0846730608916069,1
"CLIC4",-0.191672661690161,1
"RUNX3",-0.0757761047979287,1
"SYF2",-0.134764058780302,1
"RSRP1",-0.0126869960721553,1
"TMEM50A",-0.177459370627135,1
"MACO1",-0.00757078655223588,1
"LDLRAP1",0.356347036509771,1
"MAN1C1",0.434550300436039,1
"SELENON",0.703811955411757,1
"MTFR1L",0.162115460912467,1
"AUNIP",0.183121185226766,1
"PAQR7",0.567443781909792,1
"STMN1",-0.019837705593224,1
"PAFAH2",0.218383855552393,1
"PDIK1L",-0.0629187784971818,1
"CEP85",0.0338952179926101,1
"SH3BGRL3",-0.0817275272390038,1
"UBXN11",0.500581488557654,1
"CD52",0.016206906463134,1
"DHDDS",-0.0570925505224483,1
"HMGN2",-0.00212430638962773,1
"ARID1A",-0.00270920995835783,1
"PIGV",0.024217657718241,1
"ZDHHC18",0.0382439103643689,1
"SFN",0.0706354488209272,1
"GPN2",0.12744193463913,1
"GPATCH3",0.00995991811111939,1
"NUDC",0.090236581269325,1
"SLC9A1",0.0820468578533865,1
"WDTC1",0.043747296119086,1
"TMEM222",0.341056409311102,1
"SYTL1",0.213361586641352,1
"MAP3K6",0.0208225952976318,1
"GPR3",0.334594272718283,1
"WASF2",-0.0467002264460348,1
"AHDC1",0.314874515298799,1
"IFI6",-0.622059469266906,1
"FAM76A",-0.102366186074602,1
"STX12",-0.126057483008741,1
"PPP1R8",0.0552342369717399,1
"THEMIS2",-0.0258933955532448,1
"RPA2",-0.0767174057905169,1
"XKR8",0.350048404907287,1
"EYA3",-0.0467378838028391,1
"DNAJC8",-0.0817417253901453,1
"PHACTR4",-0.11637753080402,1
"RCC1",0.0708510433216598,1
"SNHG3",0.0365932522844086,1
"SNORA73B",-0.0404699367784461,1
"TRNAU1AP",-0.170288539896785,1
"SNHG12",0.143254583371664,1
"TAF12",-0.044094160503125,1
"GMEB1",0.154285693940005,1
"YTHDF2",0.0177484656062808,1
"EPB41",7.71439576733275e-05,1
"SRSF4",-0.201259249186041,1
"MECR",-0.0173410715129797,1
"LAPTM5",0.0590143350219743,1
"PUM1",-0.0588828910039951,1
"SNRNP40",0.0388563246390692,1
"ZCCHC17",0.021847215318508,1
"FABP3",-0.0338920093183142,1
"PEF1",-0.116499442508648,1
"PTP4A2",0.00827344343206165,1
"KHDRBS1",-0.0944631668785782,1
"TMEM39B",0.0588871778820775,1
"KPNA6",-0.0298641688341981,1
"TXLNA",0.0578121375954054,1
"IQCC",0.202885753763796,1
"TMEM234",0.270428820751427,1
"EIF3I",-0.0124807427835051,1
"HDAC1",-0.0675631316070307,1
"MARCKSL1",-0.0331701167843096,1
"FAM229A",0.455057502724433,1
"BSDC1",0.0551050738960913,1
"ZBTB8A",-0.278367785052751,1
"ZBTB8OS",-0.0748569027363595,1
"RBBP4",-0.0332634649373494,1
"KIAA1522",0.0364065939395584,1
"YARS1",-0.00977650713594909,1
"S100PBP",-0.0789029393485973,1
"RNF19B",-0.122351854757843,1
"AK2",-0.00864455344812875,1
"TRIM62",0.396036455653941,1
"ZNF362",0.189937056010259,1
"PHC2",-0.00262733266533022,1
"ZSCAN20",0.0979712675082903,1
"SMIM12",0.107500753127007,1
"ZMYM6",0.0473433949621571,1
"ZMYM1",0.209282983445297,1
"SFPQ",0.00323040177174138,1
"ZMYM4",-0.0772933001087662,1
"KIAA0319L",-0.00853725402858082,1
"NCDN",0.363850560377618,1
"TFAP2E",0.103097766336152,1
"PSMB2",-0.106473515688179,1
"C1orf216",0.121195100180373,1
"CLSPN",0.00257215992042027,1
"AGO4",-0.00608772657077902,1
"AGO1",0.0357345483377571,1
"AGO3",0.0601082518065704,1
"ADPRHL2",-0.240277265295664,1
"COL8A2",0.523864011630641,1
"TRAPPC3",-0.0727883532851614,1
"MAP7D1",0.0751423649623591,1
"THRAP3",-0.0550434565801194,1
"SH3D21",-0.440762971993151,1
"STK40",0.103974752959612,1
"LSM10",-0.0645586739760963,1
"OSCP1",-0.281797801001056,1
"MRPS15",-0.00520481496870916,1
"ZC3H12A",0.126448027887869,1
"MEAF6",0.0219826196764721,1
"SNIP1",0.0095571632598178,1
"GNL2",-0.0705382960248603,1
"C1orf109",0.0995387972202133,1
"CDCA8",-0.092425375472335,1
"MANEAL",0.657015545675344,1
"YRDC",-0.0628210984642889,1
"C1orf122",-0.0228546964920526,1
"MTF1",0.0628208392800605,1
"INPP5B",-0.0724014535787334,1
"SF3A3",-0.0795839364451351,1
"FHL3",0.126109319499634,1
"UTP11",-0.0444110963786505,1
"RRAGC",-0.201823607775552,1
"MYCBP",-0.00841910530876761,1
"AKIRIN1",-0.0359395866421603,1
"NDUFS5",-0.0691386712643069,1
"MACF1",-0.0395924994980938,1
"KIAA0754",-0.0395924994980938,1
"BMP8A",0.0312550000006771,1
"PPIEL",0.213209054347406,1
"PABPC4",0.0237286527004272,1
"SNORA55",0.615457091075605,1
"PPIE",0.00560480946744303,1
"BMP8B",0.228377909654926,1
"OXCT2",0.364595454229683,1
"TRIT1",-0.0803063052224664,1
"MYCL",0.0266489144244965,1
"MFSD2A",0.216257760692409,1
"CAP1",-0.0860689949370065,1
"PPT1",-0.028576202438687,1
"RLF",-0.39737897149694,1
"ZMPSTE24",0.0196006956836159,1
"COL9A2",0.321913114471325,1
"SMAP2",-0.0553784781967801,1
"ZFP69B",0.187517046696919,1
"ZFP69",0.178755542487301,1
"EXO5",0.246943675367065,1
"ZNF684",-0.249246552017854,1
"RIMS3",0.344997498431161,1
"NFYC",-0.0546356222278667,1
"CTPS1",0.0666328022243892,1
"SLFNL1-AS1",0.0836322622336958,1
"SLFNL1",0.83855493642751,1
"SCMH1",-0.0215199569038874,1
"HIVEP3",0.292265265637525,1
"FOXJ3",-0.112504218125899,1
"PPCS",0.053677069765326,1
"PPIH",-0.0824026063397101,1
"YBX1",-0.05798026569117,1
"P3H1",0.0971460521713453,1
"C1orf50",-0.0597842009012029,1
"SVBP",-0.110963209769961,1
"ERMAP",-0.0266923777690482,1
"ZNF691",-0.131003025350013,1
"SLC2A1",-0.178493593693107,1
"EBNA1BP2",-0.0254095349818143,1
"CDC20",0.0192965382385664,1
"ELOVL1",0.0711619137735257,1
"MED8",-0.0254632363724047,1
"SZT2",0.15411771580728,1
"KDM4A",0.0503755386571928,1
"ST3GAL3",-0.0791692648908005,1
"ARTN",0.484957402287244,1
"IPO13",0.222503965268141,1
"DPH2",0.167377974525504,1
"ATP6V0B",0.066301905151189,1
"B4GALT2",0.305564329647355,1
"CCDC24",0.84518390541689,1
"SLC6A9",0.142959388871572,1
"DMAP1",0.0406043818322236,1
"ERI3",-0.0247936842642774,1
"RNF220",0.0896426369841067,1
"TMEM53",0.306872394324581,1
"ARMH1",0.362466665158468,1
"KIF2C",-0.120890896343918,1
"RPS8",-0.0650232615531518,1
"PLK3",0.298495337702964,1
"TCTEX1D4",-0.171688716863538,1
"BTBD19",0.148283662061569,1
"EIF2B3",-0.0273007213362536,1
"HECTD3",0.178023471135218,1
"UROD",0.129581713260527,1
"HPDL",0.124193259627913,1
"MUTYH",-0.100595303754421,1
"TOE1",-0.0206687802964176,1
"TESK2",-0.264652970407186,1
"CCDC163",0.321445632722103,1
"MMACHC",0.0283624302474174,1
"PRDX1",-0.0357040993486016,1
"AKR1A1",-0.0128712537279437,1
"NASP",-0.0418567034830869,1
"CCDC17",0.0187416908646275,1
"GPBP1L1",-0.118365092040584,1
"TMEM69",-0.104732234030303,1
"IPP",0.0957499573395471,1
"MAST2",0.127046718435113,1
"PIK3R3",0.0883010801697071,1
"POMGNT1",0.0827638288319231,1
"RAD54L",-0.14286701478029,1
