Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
ANK3,1.161495156,2.293546324,-0.353669582,-0.043549834,-1.175486234,-2.690846193
MYOF,0.719631563,0.630417913,-0.417886627,-0.309983885,-1.675055073,-2.596574007
CHST15,-2.257343655,-0.201432128,0.006109719,-0.306052692,0.033927594,-2.984465027
SWAP70,0.128675986,-0.234632117,-0.053112876,0.044932761,-2.038732082,-3.213837969
NCR3LG1,-0.659440379,-0.726689391,-0.27740494,0.147363656,0.954500082,3.900090293
ABTB2,1.234968499,1.502398352,0.204152148,-0.23269818,-2.319241316,-3.049280764
CD44,-0.456923678,0.688332117,0.059438094,-0.021286336,-0.581860146,-3.700735777
CD82,0.371075766,0.182072035,0.652693539,0.248594173,-1.577979423,-3.02426095
RCOR2,-0.506771919,-0.694810356,0.512292229,0.386061516,1.04899091,3.064786062
SLC29A2,-0.484568126,-0.335919166,-0.016459034,0.269167919,0.584839537,2.554402329
IL18,-0.719291544,-0.729115321,-0.032187542,-0.145521044,0.463136496,-2.64366491
LPAR5,-0.872991453,-0.821268986,0.267777147,0.155722217,1.777816107,3.267080857
AMIGO2,-0.86643977,-0.601234857,0.044964778,0.255133942,1.995189152,2.389306847
DDN,0.476732538,-0.368774313,0.211137081,0.238802699,0.525140578,3.116822621
FAM186B,-0.264346084,-0.31148441,-0.538311047,0.022703374,-2.235213467,-4.069316181
LIMA1,0.810416154,-0.132752796,-0.00257023,-0.177411306,-1.108629898,-3.130357404
TPCN1,-0.091144695,-0.408636095,-0.161157505,0.198634581,0.442012112,2.544369912
HPD,0.262299879,-0.393452847,0.407631883,-0.151676193,-2.413462755,-3.03102895
HCAR1,-0.558117758,-0.579859814,0.252152922,0.222495404,1.70103642,2.529436676
SCARB1,-0.322410941,-0.383626747,0.311465776,0.254210838,0.372578698,2.70671059
FLT3,-1.180456676,-0.807396057,-0.080027235,0.052457023,1.675520728,2.527508299
MTUS2,-1.633163353,-1.674380405,0.307400684,0.793453671,2.319211802,3.468106416
RGCC,-0.868000021,-1.148134076,0.275062662,0.047489566,2.319865538,2.540788149
IRS2,-1.189291209,-0.352107964,-0.023919363,0.206142931,2.382261578,3.484452015
CBLN3,0.690342514,1.206668725,-0.174908628,-0.692901331,-2.94828608,-2.998783521
EGLN3,-1.296568715,-2.523682035,0.055231675,-0.945492805,0.971171332,2.71158001
BATF,0.502085434,0.094855356,0.596104853,0.293429343,-1.547330443,-2.745587077
PLCB2,-1.099733871,-0.610995808,0.063779711,0.403828811,1.040964383,2.941380189
GATM,-1.978937627,-1.414072452,0.041580219,-0.36002046,0.981563972,2.84812759
RAB8B,0.795899063,0.745102639,-0.079572437,-0.368154311,-1.85785696,-2.725392771
KIFC3,-1.516695298,-0.442576018,0.777970824,0.518934288,3.004897019,3.337868862
MMP15,-0.414375269,-0.264990088,0.545364116,0.735990814,1.587370807,3.833622451
CARMIL2,-0.351723589,-0.329460055,0.396463493,0.360504742,1.191817394,2.865725178
PARD6A,-0.235008679,-0.001075411,0.692851841,0.467542854,1.412575106,4.36138486
HIC1,0.108555966,0.228378299,0.768010243,0.185124053,-2.105003441,-3.232209972
RAP1GAP2,-0.634655318,-0.507591004,0.125152754,0.371529754,1.376299937,2.552749122
SPNS2,-1.003063081,-0.902839472,0.470119444,0.28897807,1.396925908,3.070756472
KSR1,0.605082767,1.670514111,0.077558024,-0.121859652,-1.023340072,-3.543000145
TLCD1,1.220180619,-0.104926227,-0.117498629,0.177217188,-2.397767337,-3.324681596
TRAF4,1.075219578,0.166750896,0.173112128,0.165963258,-2.184721819,-2.641271249
ANKRD13B,-0.078266808,-0.253480748,0.152162414,0.593223712,0.789565842,3.552627688
CCL2,0.806664716,2.171648699,-0.053388774,0.648169091,0.809174366,-3.014629422
THRA,-0.443946325,-0.687467641,-0.058776148,0.156636947,1.285861834,2.82761787
XYLT2,-0.506507787,0.066318853,0.179341916,0.487113553,1.212217365,2.776544081
BAHCC1,-0.249553548,-0.400328366,0.354184578,0.502082578,1.748636474,2.864121245
TPM4,0.561055099,0.05959287,0.096699459,-0.211370301,-1.30101813,-2.256603487
TMEM221,-0.292151821,-0.209442229,0.232317258,0.620038636,2.197234481,2.940195202
CD3EAP,0.522053997,-0.479553503,0.355899456,0.3350302,0.811167731,2.675040478
MYADM,-0.072653273,-0.001720402,0.52899445,0.237828166,0.65424943,2.606776848
MACROD2,0.691473567,2.115729528,-0.059951554,-0.52245158,-2.928031361,-4.688959628
INSM1,-0.621195773,-1.05250477,0.28516771,0.066264328,2.017918003,2.484662101
SRC,0.573430894,0.718709243,0.152937182,0.072816503,-2.060454205,-2.433771181
SLC17A9,-0.001785075,-0.370084725,0.285241107,0.458297082,0.721230668,2.72053106
MIR155HG,0.427390872,1.780104359,0.035848091,-0.477082106,-2.031347941,-3.352402307
GRAMD4,-0.711001113,-0.663092504,0.32954476,0.37340361,1.421318971,2.718160526
XK,-0.257966686,-0.683435824,0.151939799,-0.06877616,1.404441876,3.057469226
KLHL4,-0.954218787,-0.701499282,-0.04206487,0.111249746,1.500078111,3.213022394
