Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
CD1C,-1.34659097,-0.742585659,0.621701001,0.253988584,2.264638224,-0.902184385
CD1E,-1.827677512,-0.389367966,0.571660525,0.383820803,3.151004979,-0.556217807
IFI16,0.682436747,0.076042875,-0.396092311,-0.368370642,-2.392342792,-2.722641804
FCER1A,-1.326102772,1.032393379,0.603910229,0.288866639,4.363189317,2.519588762
SLAMF7,0.913309791,1.007049408,-0.164754002,-0.357366003,-3.517542731,-4.209983952
SELL,0.869920185,-0.081942363,-0.245774745,-0.358836719,-2.652021549,-1.706121428
RGL1,1.696961519,0.336683517,-0.300453598,-0.356503315,-3.252885516,-3.60140851
NIBAN1,0.86568374,0.552808324,-0.069898505,-0.10426601,-2.932285824,-4.196875576
RGS1,0.678301715,-0.489644664,-0.136766511,-1.040397982,-5.339537246,-3.865543911
LGR6,0.018946474,0.424466449,-0.03067368,0.484199814,3.23175577,2.684801384
BTG2,0.075564645,-0.286697592,0.079396939,-0.11116459,-2.814412438,-2.457903988
RAB29,1.058740038,1.322840573,-0.103993051,-0.291625861,-2.586139564,-3.129535491
NLRP3,-0.824685564,-0.482751518,0.157024495,0.110067893,2.308323175,2.60300206
MIR3681HG,0.843907046,2.088300579,-0.699959228,-0.171674503,-4.018788053,-4.828670582
FAM49A,0.617421118,0.192380476,-0.05541663,-0.18079219,-2.278491007,-2.436704599
RASGRP3,0.785794481,-0.100465539,-0.440185746,-0.361333888,-5.651418464,-4.543892505
EIF2AK2,0.666834881,0.093988151,-0.472390671,-0.276800023,-2.503208414,-3.00349551
EPAS1,-0.998657924,-0.543060436,0.251011409,0.137417902,2.640661154,0.808973447
REL,0.966717106,1.54470802,-0.337818228,-0.116635281,-2.601499982,-3.949395619
ST3GAL5,0.499465861,-0.596556021,-0.194391182,-0.286480948,-2.671336792,-3.598770842
AFF3,-0.682806634,-0.475142454,0.035556132,0.081678863,2.611048721,1.205895341
TBC1D8,1.039704124,0.554793316,-0.43892835,-0.118807867,-2.549074148,-2.48626033
LCT-AS1,-0.29351725,0.101567245,-0.087591533,0.03826036,2.745687707,2.127975343
IFIH1,2.345028456,2.288082405,-0.77447292,-0.699850609,-6.974698755,-6.382457913
STAT1,0.925862438,0.302035914,-0.569044538,-0.437295623,-4.684392975,-4.053256313
NABP1,1.989713995,0.312168087,-0.619877465,-0.108188031,-4.456338166,-4.643023114
CXCR2,-0.078961789,-0.951501872,0.064747394,0.430549631,3.063450274,4.155190319
SP110,0.737259656,0.062729595,-0.598542027,-0.413894932,-3.114864338,-2.93283206
SP140,1.424661409,1.052969692,-1.152814794,-0.674327348,-6.228002402,-3.447104566
SP140L,0.792202776,0.100928282,-0.64515895,-0.493477398,-3.702600907,-1.60115451
CNTN4,0.826559155,0.260399801,-0.493174657,-0.720931708,-3.039122847,0.321564747
TRANK1,1.289037142,1.280543292,-1.112756456,-0.678645926,-5.374139509,-4.316832932
CSRNP1,1.04721261,1.484062295,0.141726619,-0.239999459,-2.562578636,-1.870672306
CCR1,0.732652341,-0.635242837,-0.730274004,-0.145590995,-2.527733633,-1.753785799
CCR2,-0.483328681,-0.840755749,0.016219295,0.397963486,2.660779229,3.347522774
CAMP,-1.464283147,0.134491356,0.647493284,0.193336921,3.254355759,1.252686191
UBA7,0.714874191,0.806229257,-0.627176387,-0.248634553,-3.628413581,-2.207655776
HESX1,1.872802183,-0.067743264,-1.233256397,-0.782091898,-6.108349066,-3.533234209
NFKBIZ,0.402241488,1.158494207,-0.277251971,-0.102899082,-2.542894329,-2.959350782
CD80,2.379394632,2.859959047,-0.573329529,-0.343403829,-6.323277319,-6.368024205
PARP9,1.48025477,0.492575123,-0.917433317,-0.618786133,-5.288953564,-4.690714961
DTX3L,1.000904533,0.460611191,-0.526117782,-0.318355671,-2.719931221,-2.427020722
PARP14,0.952705987,0.525809735,-0.723391852,-0.516242336,-4.092367454,-4.360396077
PLSCR1,1.174689272,0.294133982,-0.57013257,-0.472626571,-3.068497366,-3.239271819
RUBCN,0.616750304,0.663106278,-0.136742994,-0.174631907,-2.269925923,-2.441153046
SMIM14,0.571975438,0.383327929,0.266409993,0.104136676,-3.100369076,-3.610877095
STAP1,0.962744428,0.119417678,-0.567179948,-0.610738362,-2.460873124,-1.988778269
RASGEF1B,0.630632199,0.690604321,-0.000387323,-0.352021442,-3.213416724,-3.26561762
ARHGAP10,1.798655039,-0.729880159,0.104923784,-0.274312494,-3.302765268,-2.955592732
DDX60,1.884721533,1.877682553,-1.498553198,-0.966811364,-11.03808569,-6.253563145
ADAMTS16,-2.051421743,-2.461467261,0.268173489,0.302325831,4.382319829,1.996291374
ZNF366,-0.431389515,-1.529019095,0.022827876,0.045227553,-3.606471951,-3.210728445
SPOCK1,0.739466662,0.545194982,0.680453328,-0.085428172,4.502031254,0.661090347
ADAM19,0.697399155,0.429615419,-0.058593054,-0.275058533,-4.453321891,-4.085243392
SERPINB1,1.296910298,0.771826506,-0.080117827,-0.333283313,-4.454530192,-2.980243317
