Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
UBE4B,-0.148687277,-0.242498394,-0.065695684,0.011949916,0.095914473,-0.146737226
KIF1B,0.02902832,-0.263102846,-0.351307116,-0.267357638,-0.526375827,-0.587056409
PGD,-0.027025964,0.00743444,0.052612688,-0.032305583,-0.538271519,-0.787837232
CENPS,0.716892004,0.471382461,0.541591429,-0.10862995,0.518377824,-0.024203432
DFFA,0.111500177,-0.237519911,0.085518565,-0.03438066,0.218341161,0.561254351
PEX14,0.386651749,0.5244566,0.508177858,0.134362269,-0.638190117,-0.248704146
CASZ1,0.868228959,-0.038078557,0.161131544,-0.221117758,-0.764371282,1.648742648
TARDBP,0.446301708,0.175845874,0.168045019,-0.016146929,-0.060400432,-0.222200943
SRM,0.877348265,0.031838068,0.282348259,0.23830406,-0.208765151,1.460292502
EXOSC10,0.065733539,0.073190757,-0.047135366,-0.089213617,-0.022901442,-0.600787564
MTOR,0.188084042,0.213762346,-0.179008122,0.017277881,-0.220721363,-0.392252455
UBIAD1,0.420331963,-0.243647379,0.099974425,0.285045956,0.159897101,1.192526526
FBXO44,0.103804711,-0.168315546,0.338229608,0.156395116,-0.821245666,0.777519242
FBXO6,0.915859407,0.269811534,0.024885918,-0.206997236,-2.307345281,-1.792864509
MAD2L2,0.022170086,0.007770154,0.338546512,0.045173271,0.206564677,0.167349764
AGTRAP,-0.249025553,-0.171253835,0.301951665,0.259051955,1.039800487,2.320004585
MTHFR,-0.682753832,-0.212343976,0.105375434,0.137799318,-0.519558124,1.028574025
CLCN6,-0.870180283,-0.436306837,-0.277373084,0.061696128,-0.281375074,0.838758529
KIAA2013,-0.015885535,-0.137612185,0.358063711,0.106579378,0.027664582,0.955811348
PLOD1,-0.313283166,-0.357297762,0.068069223,-0.078546567,-0.690112446,0.77002214
MFN2,0.429916872,0.186514275,0.138496932,0.097074656,-0.242960501,-0.195594906
MIIP,0.483638181,0.445737613,0.526238915,0.25791599,-0.62051255,0.230565031
TNFRSF1B,0.570517486,1.207752502,0.103219153,0.094320364,-1.32678549,0.113266419
VPS13D,-0.554362229,0.090100278,-0.381604628,-0.000250974,-0.331452397,-0.434108077
PRDM2,-0.093021863,-0.198184657,-0.060285274,0.080755662,0.02541679,-0.415925712
EFHD2,0.237929146,-0.187411561,0.595117129,0.222284312,-0.499026597,0.290262698
CASP9,-0.229639107,0.08571717,0.050853475,0.132704042,-0.933591286,0.743036957
DNAJC16,0.066770604,0.50864787,-0.204353689,0.02247405,-0.607456471,-0.227740054
AGMAT,0.652191182,-0.042551134,0.397700637,0.117087114,0.388879504,1.383191306
DDI2,0.159005845,-0.132438658,-0.071777938,0.042361541,0.419831139,0.128690331
PLEKHM2,0.264357991,0.528827793,0.414672188,0.162307775,-0.53759932,-0.384457669
UQCRHL,0.146021601,-0.119288407,0.538248242,-0.018341,-0.006010028,0.102060302
FLJ37453,-0.62858295,0.217308397,0.627923962,0.466453266,0.666876495,0.080123877
SPEN,-0.291465492,-0.323917569,-0.331084579,0.042509502,-0.143192658,-0.324854958
ZBTB17,0.276277197,0.705686924,0.383570142,0.317282853,-0.792411871,-0.961321043
EPHA2,0.500975419,0.598229721,0.338178219,0.416986132,0.437616018,2.323675638
ARHGEF19,-0.023918314,0.019761071,0.066583563,0.393627119,-0.180942567,1.377584183
CPLANE2,0.237286451,-0.260537566,0.644354639,-0.190151702,-0.426795647,1.00250946
FBXO42,-0.192274388,0.076515653,-0.013617724,-0.037697052,-0.271159872,-0.591115729
SZRD1,0.655392992,0.359266949,0.438723158,0.089991681,-0.419270904,-0.501571376
NECAP2,0.423789215,0.938437895,0.039804185,-0.154848924,-0.750080056,-0.65435421
NBPF1,-0.443021639,-0.335593037,-0.075165631,0.248780778,0.440539284,0.072706776
CROCCP2,-0.359611386,0.17110016,0.06803468,0.223611984,0.012373033,0.524137577
CROCC,-0.324123766,0.146513672,0.815581484,0.481129436,0.699761587,1.713584564
ATP13A2,0.083628187,0.66263926,1.027773539,0.672255034,0.345555355,0.802221803
SDHB,0.144164571,-0.053321661,-0.020862633,-0.058127523,-0.081677829,0.192016335
ALDH4A1,0.113252762,0.189502679,0.447626338,0.291929836,-0.795421241,-0.024751488
IFFO2,-0.163622082,1.68861763,0.288536883,0.140746051,0.342170866,0.435665549
UBR4,-0.497024277,0.663598311,-1.104849482,-0.198664453,-0.780251514,-1.599230698
EMC1,0.429445688,-0.114350744,-0.086537888,0.004772394,-0.515865978,0.212340926
MRTO4,0.808494468,-0.183626651,0.111130521,0.086445477,-0.006889724,0.539118815
AKR7A2,-0.351819593,0.148776433,0.430178999,0.049143608,0.06477406,0.03444807
SLC66A1,0.006392938,-0.327305645,0.45426756,0.251790483,-0.752566861,-0.261730852
CAPZB,-0.079559691,0.011011187,0.144824272,0.021362092,-0.528253957,-0.590395049
MICOS10,-0.067531341,-0.122285243,0.309889661,-0.041558594,0.336174733,0.119116311
TMCO4,0.259008396,-0.005250678,0.327347386,0.253205504,-0.173607124,0.978323915
OTUD3,-0.41062548,-0.202944101,-0.1165898,0.083230374,0.379006466,-0.126407355
MUL1,0.441919053,0.579340672,0.274432888,0.187286942,-0.281085135,-0.223290117
PINK1,-0.474481196,0.351902214,0.41034791,-0.132146083,1.126120075,0.803817146
PINK1-AS,0.361784151,0.186049227,0.308947926,0.121991645,-0.321111802,-0.418287275
DDOST,0.15511151,0.337527594,0.163643669,0.050615031,-0.16353023,0.089308844
HP1BP3,-0.424269855,-0.078196526,-0.143657581,-0.029680983,0.232928653,-0.280288514
EIF4G3,0.15000076,-0.585847377,-0.083975226,-0.037030404,0.227365093,-0.119349447
USP48,-0.22642649,-0.05715439,-0.208204054,-0.058715942,-0.073954472,-0.009136401
LINC00339,-1.385427116,-0.50999961,-0.723063771,0.028656019,0.410562392,0.475658828
CDC42,0.036251568,-0.043518361,0.118553328,-0.057111052,-0.206497991,-0.372844657
ZBTB40,-0.196972299,0.327101703,-0.170488918,0.159468036,-0.091448904,-0.211550821
KDM1A,0.028648648,-0.297170493,-0.139521306,-0.046321909,0.032487986,0.642601585
LUZP1,-0.295546163,-0.039238198,-0.117177035,-0.008738375,-0.080768643,-0.54387142
RPL11,0.153015505,0.032039686,0.145740257,-0.017319204,-0.230827859,-0.157340915
ELOA,0.848130933,0.016197943,-0.091075565,-0.041620542,-1.713750398,-2.610758558
PITHD1,0.270346267,0.082561622,-0.025576671,-0.006822262,0.275615638,-0.646437284
LYPLA2,0.30708134,0.372113325,0.344419541,0.258090343,-0.508044584,-0.100283128
GALE,0.300454632,-0.229904527,0.274098535,0.107641941,-0.055431011,0.253783912
HMGCL,-0.263594064,0.214188977,0.020802619,-0.076541702,-0.610955532,-0.409450716
FUCA1,-0.393838439,-0.431238633,-0.116311656,0.056863854,-0.161148288,0.245993305
CNR2,-0.236818474,-1.13012209,0.076923849,0.246668294,0.606899935,0.608636993
PNRC2,0.257763584,0.254071238,0.009024416,0.015649558,0.120936542,-0.636941053
SRSF10,0.185459994,-0.129788903,-0.067175189,-0.016083411,0.314881994,-0.214135467
IFNLR1,0.053061512,-0.362317605,-0.03407124,0.039782804,-0.04951426,-1.176147646
STPG1,-0.035963719,0.794665051,-0.092561,-0.035727202,-0.207176733,-0.373027152
NIPAL3,-0.401966184,-0.159062256,0.039429566,0.138478441,0.425849398,0.906784769
RCAN3,-0.166028403,-0.122002684,0.186418268,0.003004672,-0.049468476,-0.524466138
NCMAP,0.144385479,1.19249473,-0.115974612,0.063546298,0.649831627,-0.15003913
SRRM1,0.259790333,0.257778012,-0.061799828,-0.084673061,-0.210109434,-0.389492543
CLIC4,0.17107342,0.058735164,0.068800276,-0.191672662,-0.612657766,-1.54353952
RUNX3,0.359973835,0.481380134,0.199264798,-0.075776105,-1.54346506,-1.52744315
SYF2,-0.369922593,0.067433087,-0.117428686,-0.134764059,0.108978378,-0.051129503
RSRP1,-0.220753016,0.19884453,-0.057109282,-0.012686996,-0.078562694,0.265162646
TMEM50A,0.667902354,0.249757283,-0.005102842,-0.177459371,-0.667427941,-0.641483823
MACO1,-0.368753394,0.094103094,-0.006539379,-0.007570787,0.105287004,-0.091493443
LDLRAP1,-0.162305915,-0.271506547,0.088821579,0.356347037,0.156047192,0.865550157
SELENON,0.225760473,0.058731812,0.424323892,0.703811955,1.08555999,1.261020739
MTFR1L,-0.314122445,0.23465423,0.144078348,0.162115461,-0.365834365,-0.179111071
AUNIP,-0.046273704,-0.170553354,-0.011626275,0.183121185,0.209443876,0.60759706
PAQR7,-0.27257627,-0.000693323,0.122986434,0.567443782,0.078219568,1.954184561
STMN1,-0.361913856,-0.16156363,0.085440223,-0.019837706,0.941040153,0.386738607
PAFAH2,-0.450524819,-0.315000389,0.040315603,0.218383856,1.119898514,1.259563661
PDIK1L,-0.215890531,-0.234536245,-0.072411179,-0.062918778,0.61581911,0.519543802
CEP85,0.041622373,-0.417134995,-0.03871451,0.033895218,-0.10253912,-0.162471956
SH3BGRL3,-0.149179773,-0.297725145,0.429006957,-0.081727527,-0.530819226,-0.652789967
UBXN11,-0.006452114,0.431732642,0.276951915,0.500581489,0.098263424,0.329465491
CD52,-1.147837193,-0.671933154,0.376256867,0.016206906,-0.636273142,-0.97230844
DHDDS,0.39563332,0.369683479,-0.029274922,-0.057092551,-0.509436419,-0.282626998
HMGN2,-0.0444451,0.076753287,-0.000267279,-0.002124306,0.387150085,-0.016903304
ARID1A,-0.36971982,-0.039000534,-0.345792288,-0.00270921,-0.215168141,-0.189699398
PIGV,-0.817251203,0.884153484,-0.24053595,0.024217658,-0.553602809,-1.29511803
ZDHHC18,0.952665317,0.804208013,0.100341419,0.03824391,-1.511174682,-2.15053389
SFN,0.162223369,1.605255904,0.364203024,0.070635449,-1.253014318,-2.316443816
GPN2,0.171895347,0.148880185,0.167909029,0.127441935,-0.233301082,-0.192048114
GPATCH3,0.381866693,0.487368323,0.254347107,0.009959918,-0.390141611,-0.233584682
NUDC,0.587159154,0.137316508,0.190893127,0.090236581,-0.047642745,0.304929358
SLC9A1,0.260260651,0.340057998,0.107206849,0.082046858,-0.410827214,-0.460103589
WDTC1,-0.486350866,0.086906552,0.135675293,0.043747296,-0.107058717,0.667218781
TMEM222,0.309834933,0.267077681,0.247703035,0.341056409,-0.187806849,-0.080396663
MAP3K6,0.416152895,0.210284441,0.432829533,0.020822595,-0.535841949,-0.452863397
WASF2,-0.178947437,0.027412989,-0.079323223,-0.046700226,-0.175031805,-0.461387699
AHDC1,-0.124345311,0.587555007,0.506857995,0.314874515,0.157155827,-0.159260465
IFI6,1.924281194,1.256423792,-1.028662315,-0.622059469,-11.28641633,-9.868265554
FAM76A,0.050824751,-0.005005122,0.078596601,-0.102366186,0.030314997,0.095244617
STX12,0.025785777,0.054550242,-0.033431957,-0.126057483,-0.722977301,-0.831692126
PPP1R8,0.214290744,0.151074646,0.094059187,0.055234237,0.119113654,0.017476018
THEMIS2,0.434818065,0.547105816,0.164209314,-0.025893396,-2.183729424,-1.273783219
RPA2,0.006090359,0.075918571,-0.060136657,-0.076717406,-0.027211529,0.221371124
XKR8,-0.191906742,0.175565105,0.355224349,0.350048405,-0.357381441,0.200191471
EYA3,0.122904582,0.115115153,-0.038762905,-0.046737884,-0.114081781,-0.08893993
DNAJC8,0.130211327,-0.030080125,-0.022111983,-0.081741725,-0.031734156,-0.275647248
PHACTR4,0.56005199,0.095534345,-0.232151688,-0.116377531,-0.399776545,-0.60559589
RCC1,0.330802449,-0.251248149,0.05114922,0.070851043,0.288515382,0.64943153
SNHG3,-0.176680878,-0.31433396,-0.051205514,0.036593252,0.282364823,0.504250801
SNORA73B,0.222342939,-0.285196147,-0.982608934,-0.040469937,-0.093692403,0.257716778
TRNAU1AP,-0.171286095,-0.378622619,0.012552458,-0.17028854,-0.088870278,-0.7661285
SNHG12,0.406166378,-0.102676319,0.139136295,0.143254583,0.096791751,0.73083837
TAF12,0.030123495,-0.2040075,0.095774707,-0.044094161,-0.294474875,-0.134770986
GMEB1,-0.096463208,0.27101817,-0.009434256,0.154285694,-0.2706722,-0.544330006
YTHDF2,0.305750058,0.129169797,0.070056656,0.017748466,-0.022156617,-0.076830528
EPB41,0.005518575,0.014583781,-0.103626953,7.71E-05,-0.073846397,0.918120849
SRSF4,0.121326659,0.168192116,-0.074528391,-0.201259249,0.024899277,-0.445374715
MECR,0.22795177,0.099955655,0.023635848,-0.017341072,-0.100877145,0.60949975
LAPTM5,0.126168337,-0.328909436,0.458769061,0.059014335,-0.92719701,-0.136391256
PUM1,-0.097117991,-0.001490295,-0.167912222,-0.058882891,-0.101620524,-0.112293262
SNRNP40,0.327946033,0.064629407,-0.006750676,0.038856325,-0.079087315,-0.159169992
ZCCHC17,-0.121187406,0.039179625,0.005334775,0.021847215,-0.111974061,-0.200100368
FABP3,-0.8329326,-0.146146349,-0.339517689,-0.033892009,1.008207385,0.173729986
PEF1,0.320265252,0.311800931,0.134803078,-0.116499443,-0.370452866,-0.215445307
PTP4A2,0.352773126,-0.268562308,0.097668481,0.008273443,-0.39139031,-0.866134961
KHDRBS1,0.184856127,0.137310349,0.122697094,-0.094463167,0.227916932,-0.272968865
TMEM39B,0.105407984,0.021159027,0.309503156,0.058887178,0.307607209,0.32853283
KPNA6,-0.036867148,0.114927683,-0.136965994,-0.029864169,-0.396123448,-0.47561818
TXLNA,0.318362415,0.179712173,0.033213727,0.057812138,-0.476479738,-0.323847015
IQCC,-0.651435327,0.219107237,-0.274868879,0.202885754,0.139762702,-0.127449696
TMEM234,0.189995745,0.453970408,0.516202451,0.270428821,-0.01851253,-0.573100427
EIF3I,0.271729822,0.062341618,0.014360636,-0.012480743,-0.189576941,-0.176365091
HDAC1,0.014578345,-0.291234198,0.053614908,-0.067563132,0.075706197,-0.073727138
MARCKSL1,0.784620704,0.679977979,0.158584603,-0.033170117,-1.629665889,-2.505134713
FAM229A,-0.09255398,1.113572705,-0.213707123,0.455057503,0.899622402,-0.493238392
BSDC1,-0.016356766,0.742362063,-0.079072239,0.055105074,-0.091737653,-0.556559051
ZBTB8OS,0.262230524,-0.088998311,-0.074534656,-0.074856903,-0.282657638,-0.2022599
RBBP4,-0.145971362,-0.236384511,-0.10210276,-0.033263465,0.100500324,0.084950428
KIAA1522,-0.099419876,0.759527169,0.067001533,0.036406594,-0.386183367,-1.041401078
YARS1,0.243179416,-0.206447607,-0.048922996,-0.009776507,-0.115123796,0.298439379
